,eating_survey.cognitive_restraint,eating_survey.emotional_eating,eating_survey.uncontrolled_eating
s075,44.4444444444,88.8888888889,51.851851851899994
s076,44.4444444444,55.5555555556,55.5555555556
s077,22.2222222222,0.0,7.4074074074
s078,5.5555555556,0.0,29.6296296296
s079,61.111111111099994,22.2222222222,33.3333333333
s080,33.3333333333,77.7777777778,51.851851851899994
s081,27.7777777778,88.8888888889,48.148148148100006
s082,11.1111111111,0.0,11.1111111111
s083,0.0,100.0,70.3703703704
s084,44.4444444444,66.6666666667,59.2592592593
s085,27.7777777778,0.0,25.925925925900003
s086,33.3333333333,0.0,18.5185185185
s087,55.5555555556,66.6666666667,55.5555555556
s088,27.7777777778,22.2222222222,51.851851851899994
s089,88.8888888889,55.5555555556,85.1851851852
s090,66.6666666667,0.0,7.4074074074
s091,16.6666666667,22.2222222222,29.6296296296
s092,50.0,66.6666666667,37.037037037
s093,44.4444444444,66.6666666667,62.962962963
s094,5.5555555556,11.1111111111,37.037037037
s095,61.111111111099994,22.2222222222,37.037037037
s096,50.0,11.1111111111,29.6296296296
s097,55.5555555556,77.7777777778,55.5555555556
s098,16.6666666667,0.0,11.1111111111
s099,61.111111111099994,66.6666666667,29.6296296296
s100,27.7777777778,66.6666666667,37.037037037
s101,72.2222222222,55.5555555556,44.4444444444
s102,61.111111111099994,44.4444444444,22.2222222222
s103,22.2222222222,22.2222222222,25.925925925900003
s105,100.0,0.0,18.5185185185
s106,22.2222222222,0.0,14.8148148148
s107,55.5555555556,66.6666666667,55.5555555556
s108,50.0,66.6666666667,33.3333333333
s109,44.4444444444,44.4444444444,62.962962963
s110,61.111111111099994,55.5555555556,48.148148148100006
s111,27.7777777778,66.6666666667,18.5185185185
s112,50.0,33.3333333333,55.5555555556
s113,5.5555555556,22.2222222222,44.4444444444
s114,38.8888888889,22.2222222222,22.2222222222
s115,66.6666666667,88.8888888889,70.3703703704
s116,55.5555555556,44.4444444444,25.925925925900003
s117,72.2222222222,0.0,14.8148148148
s118,44.4444444444,55.5555555556,62.962962963
s119,11.1111111111,11.1111111111,33.3333333333
s120,55.5555555556,33.3333333333,62.962962963
s121,11.1111111111,33.3333333333,25.925925925900003
s122,83.3333333333,22.2222222222,33.3333333333
s123,72.2222222222,44.4444444444,40.740740740700005
s124,16.6666666667,55.5555555556,81.4814814815
s125,61.111111111099994,44.4444444444,44.4444444444
s126,33.3333333333,0.0,22.2222222222
s127,38.8888888889,11.1111111111,18.5185185185
s128,72.2222222222,66.6666666667,48.148148148100006
s129,66.6666666667,55.5555555556,44.4444444444
s130,50.0,0.0,7.4074074074
s131,27.7777777778,0.0,11.1111111111
s132,16.6666666667,11.1111111111,40.740740740700005
s133,16.6666666667,22.2222222222,22.2222222222
s134,50.0,33.3333333333,33.3333333333
s135,44.4444444444,0.0,59.2592592593
s136,44.4444444444,33.3333333333,11.1111111111
s138,27.7777777778,66.6666666667,74.0740740741
s139,38.8888888889,0.0,7.4074074074
s140,33.3333333333,33.3333333333,33.3333333333
s141,0.0,0.0,3.7037037037
s142,0.0,0.0,77.7777777778
s143,33.3333333333,0.0,3.7037037037
s144,61.111111111099994,44.4444444444,37.037037037
s145,44.4444444444,33.3333333333,40.740740740700005
s146,16.6666666667,33.3333333333,37.037037037
s147,61.111111111099994,77.7777777778,44.4444444444
s149,38.8888888889,66.6666666667,62.962962963
s150,66.6666666667,55.5555555556,22.2222222222
s151,44.4444444444,44.4444444444,55.5555555556
s152,55.5555555556,11.1111111111,22.2222222222
s153,16.6666666667,33.3333333333,33.3333333333
s154,66.6666666667,33.3333333333,25.925925925900003
s155,88.8888888889,22.2222222222,11.1111111111
s156,27.7777777778,0.0,18.5185185185
s157,33.3333333333,33.3333333333,40.740740740700005
s158,55.5555555556,0.0,33.3333333333
s160,22.2222222222,77.7777777778,25.925925925900003
s161,77.7777777778,33.3333333333,44.4444444444
s162,5.5555555556,22.2222222222,25.925925925900003
s163,38.8888888889,0.0,11.1111111111
s165,38.8888888889,0.0,11.1111111111
